"","county","n_species","total_area","human_pop_county","density","perc_not_secure_state","perc_not_secure_global"
"1","Albany",376,1381245346,303348,0.000219619201525983,0.545961002785515,4.56989247311828
"2","Allegany",232,2679214934,45609,1.70232702950438e-05,0.285714285714286,3.04347826086957
"3","Bronx",275,148586764,1390450,0.00935783216868496,0.678030303030303,3.30882352941176
"4","Broome",243,1852704805,187614,0.000101264917915512,0.330472103004292,2.9045643153527
"5","Cattaraugus",318,3424909467,74899,2.18688992283369e-05,0.480645161290323,3.17460317460317
"6","Cayuga",322,2236898696,75486,3.3745828604122e-05,0.483974358974359,3.13479623824451
"7","Chautauqua",303,3885479873,125765,3.23679453016691e-05,0.438356164383562,3.01003344481605
"8","Chemung",270,1063863749,82498,7.75456444281945e-05,0.409090909090909,2.60223048327138
"9","Chenango",237,2327440818,46731,2.00782763791848e-05,0.320175438596491,2.97872340425532
"10","Clinton",332,2894345033,80097,2.76736184134133e-05,0.495327102803738,1.51515151515152
"11","Columbia",305,1678842117,58813,3.50318826317603e-05,0.45578231292517,4.69798657718121
"12","Cortland",231,1298928591,47299,3.64138570262636e-05,0.3125,3.05676855895197
"13","Delaware",253,3800470486,43353,1.1407271852183e-05,0.352459016393443,4
"14","Dutchess",389,2137634629,294776,0.000137898215158452,0.568783068783069,4.6875
"15","Erie",395,3177539614,916672,0.000288484837753466,0.578125,2.05128205128205
"16","Essex",418,4963103744,36079,7.26944304632291e-06,0.591687041564792,3.13253012048193
"17","Franklin",291,4396479409,49508,1.12608283570378e-05,0.455197132616487,1.40350877192982
"18","Fulton",216,1380151090,52883,3.83168193563503e-05,0.230769230769231,2.33644859813084
"19","Genesee",309,1282842972,56866,4.43281065891828e-05,0.48494983277592,2.61437908496732
"20","Greene",284,1704341560,46802,2.7460458102072e-05,0.421818181818182,4.28571428571429
"21","Hamilton",260,4682193736,4384,9.36313242720549e-07,0.41796875,2.69230769230769
"22","Herkimer",292,3776227978,60531,1.60294877196633e-05,0.428070175438596,2.40549828178694
"23","Jefferson",378,4810534160,105770,2.19871632716979e-05,0.538674033149171,2.95698924731183
"24","Kings",213,250843242,2523560,0.0100603069067334,0.635467980295567,3.3175355450237
"25","Lewis",295,3340920138,25916,7.75714441815849e-06,0.447916666666667,2.73037542662116
"26","Livingston",290,1658260127,62316,3.75791463506618e-05,0.432142857142857,2.7972027972028
"27","Madison",265,1712745358,70589,4.12139490965708e-05,0.39922480620155,3.40909090909091
"28","Monroe",377,3539746542,739582,0.000208936428420699,0.587912087912088,2.68817204301075
"29","Montgomery",187,1062666158,48875,4.5992807460798e-05,0.171270718232044,2.13903743315508
"30","Nassau",420,1174251309,1355700,0.00115452287735112,0.71007371007371,3.59712230215827
"31","New York",150,87694297,1628010,0.0185646051760926,0.702127659574468,4
"32","Niagara",318,2951729939,207723,7.03733079559349e-05,0.530944625407166,1.89873417721519
"33","Oneida",369,3257279069,227065,6.97100233630611e-05,0.527932960893855,2.20385674931129
"34","Onondaga",368,2086540641,458286,0.000219639143851212,0.547486033519553,3.03030303030303
"35","Ontario",278,1716001534,109855,6.4018008039846e-05,0.405204460966543,1.44404332129964
"36","Orange",432,2171925330,390568,0.000179825703308134,0.601431980906921,4
"37","Orleans",220,2117108738,39746,1.87737168557282e-05,0.364928909952607,3.7037037037037
"38","Oswego",323,3398227397,116342,3.42360844076262e-05,0.463022508038585,4.07523510971787
"39","Otsego",240,2630801251,58859,2.23730317817155e-05,0.318777292576419,3.38983050847458
"40","Putnam",272,637450426,97332,0.000152689520674977,0.438931297709924,4.08921933085502
"41","Queens",324,470038399,2212360,0.00470676439351926,0.712460063897764,2.78637770897833
"42","Rensselaer",324,1723385533,157576,9.14339809535816e-05,0.487341772151899,3.41614906832298
"43","Richmond",380,266424213,475909,0.00178628284059152,0.712737127371274,3.16622691292876
"44","Rockland",340,516061786,326323,0.000632333198955367,0.537993920972644,3.85756676557863
"45","Saratoga",306,2185452229,229249,0.000104897740137243,0.453020134228188,2.64026402640264
"46","Schenectady",242,542456659,155739,0.000287099434426889,0.394849785407725,1.67364016736402
"47","Schoharie",223,1622180503,30705,1.89282265094515e-05,0.254716981132075,1.81818181818182
"48","Schuyler",236,886651777,17653,1.99097328375399e-05,0.303964757709251,2.14592274678112
"49","Seneca",267,1011191300,33690,3.33171379144579e-05,0.43359375,1.88679245283019
"50","St. Lawrence",393,7307175560,106566,1.4583747047676e-05,0.565445026178011,2.32558139534884
"51","Steuben",245,3636438297,94417,2.59641419126766e-05,0.337552742616034,2.89256198347107
"52","Suffolk",650,6146695287,1468140,0.000238850297834847,0.772504091653028,4.81366459627329
"53","Sullivan",268,2581221628,75498,2.92489413466204e-05,0.368217054263566,4.54545454545455
"54","Tioga",245,1354644584,47727,3.52321196007528e-05,0.352941176470588,3.29218106995885
"55","Tompkins",354,1273102625,101702,7.98851545844547e-05,0.520348837209302,2.88184438040346
"56","Ulster",404,3006354575,175883,5.85037445225502e-05,0.572151898734177,4.5
"57","Warren",308,2412837338,63402,2.62769474765149e-05,0.475083056478405,3.94736842105263
"58","Washington",319,2190840599,61064,2.78724066131842e-05,0.483870967741935,2.22222222222222
"59","Wayne",275,3582098100,89354,2.49445988092844e-05,0.447368421052632,3.67647058823529
"60","Westchester",422,1295205884,966092,0.000745898402666614,0.644768856447689,3.0952380952381
"61","Wyoming",251,1544377505,39531,2.55967209260795e-05,0.349794238683128,2.02429149797571
"62","Yates",238,973265574,24837,2.55192422947038e-05,0.362068965517241,0.843881856540084
