MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUSUBCC,AREALAND,AREAWATER,UR,CSA,CBSA,METDIV,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G4020,2.76E+13,36001,36,1,974099,Albany,Albany County,6,A,H1,1354273421,26971925,,104,10580,,42.6001155,-73.9737394,42.5882401,-73.9740095
G4020,2.76E+13,36003,36,3,974100,Allegany,Allegany County,6,A,H1,2666225086,12989848,,,,,42.2571481,-78.0275311,42.2478532,-78.0261531
G4020,2.76E+13,36005,36,5,974101,Bronx,Bronx County,6,C,H6,109224611,39362153,,408,35620,35614,40.8492041,-73.8530773,40.8487111,-73.852939
G4020,2.76E+13,36007,36,7,974102,Broome,Broome County,6,A,H1,1827594819,25109986,,,13780,,42.1602019,-75.8192987,42.1619773,-75.8302833
G4020,2.76E+13,36009,36,9,974103,Cattaraugus,Cattaraugus County,6,A,H1,3388125876,36783591,,160,36460,,42.2485389,-78.6788706,42.2390986,-78.662332
G4020,2.76E+13,36011,36,11,974104,Cayuga,Cayuga County,6,A,H1,1791190744,445707952,,532,12180,,43.0090248,-76.573736,43.0085456,-76.5745866
G4020,2.76E+13,36013,36,13,974105,Chautauqua,Chautauqua County,6,A,H1,2746454150,1139025723,,,27460,,42.3026174,-79.4058411,42.3042159,-79.4075949
G4020,2.76E+13,36015,36,15,974106,Chemung,Chemung County,6,A,H1,1054988422,8875327,,236,21300,,42.1412173,-76.7600106,42.1486972,-76.7524712
G4020,2.76E+13,36017,36,17,974107,Chenango,Chenango County,6,A,H1,2314393901,13046917,,,,,42.4932502,-75.6116092,42.4780238,-75.6022407
G4020,2.76E+13,36019,36,19,974108,Clinton,Clinton County,6,A,H1,2687763026,206582007,,,38460,,44.7459478,-73.6782045,44.752712,-73.7056429
G4020,2.76E+13,36021,36,21,974109,Columbia,Columbia County,6,A,H1,1643770717,35071400,,104,26460,,42.249835,-73.6320715,42.2476964,-73.6267175
G4020,2.76E+13,36023,36,23,974110,Cortland,Cortland County,6,A,H1,1291817953,7110638,,296,18660,,42.5948818,-76.070254,42.594039,-76.0762398
G4020,2.76E+13,36025,36,25,974111,Delaware,Delaware County,6,A,H1,3736306657,64163829,,,,,42.1980163,-74.9668636,42.1939865,-74.9667281
G4020,2.76E+13,36027,36,27,974112,Dutchess,Dutchess County,6,A,H1,2060721458,76913171,,408,39100,,41.7648591,-73.7429109,41.7547699,-73.7400411
