county,category,taxonomic_group,taxonomic_subgroup,common_name,state_conservation_rank,global_conservation_rank,human_pop_county,human_growth_rate,land_area,water_area,pop_per_mi
Albany,Animal,Birds,Sparrows and Towhees,Henslow's Sparrow,S3B,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Upland Sandpiper,S3B,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Northern Harrier,"S3B,S3N",G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,Wrens,Sedge Wren,S3B,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Bald Eagle,"S2S3B,S2N",G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Least Bittern,"S3B,S1N",G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,Grebes,Pied-billed Grebe,"S3B,S1N",G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Rails, Coots and Cranes",King Rail,S1B,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Frosted Elfin,S1S2,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Ferns and Fern Allies,Ferns,Blunt-lobe Grape Fern,S2S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Ferns and Fern Allies,Ferns,Smooth Cliff Brake,S2,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Yellow Giant-hyssop,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Woodland Agrimony,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Purple Rock Cress,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Green Rock Cress,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,New England Northern Reed Grass,S2,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Purple Cress,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Back's Sedge,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Brown Bog Sedge,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Clustered Sedge,S2S3,G4?,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Davis' Sedge,S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Glaucous Sedge,S2,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,James' Sedge,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,False Hop Sedge,S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Troublesome Sedge,S2S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Reflexed Sedge,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Dune Sandspur,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Great Plains Flatsedge,S1S2,G5T5?,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Ram's-head Lady's Slipper,S2,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Little-leaf Tick Trefoil,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Rough Avens,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Rough Pennyroyal,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Goldenseal,S2,G3G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Northern Blazing Star,S2,G5?T3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Yellow Wild Flax,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Violet Wood Sorrel,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Swamp Lousewort,S2S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Tooth Cup,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Spongy Arrowhead,S2,G5T4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Ohio Goldenrod,S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Small Bur-reed,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Prairie Dropseed,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Rough Hedge Nettle,S2,G5T4T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Nodding Pogonia,S2,G3G4T3T4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Small Floating Bladderwort,S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Culver's Root,S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Mammals,Bats,Northern Long-eared Bat,S1,G1G2,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Reptiles,Snakes,Timber Rattlesnake,S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Swamp Agrimony,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Hairy Angelica,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Whorled Milkweed,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Delmarva Beggar-ticks,S3,G3G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Bicknell's Sedge,S3,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Bush's Sedge,S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Small Yellow Sedge,S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Muhlenberg's Veinless Sedge,S3,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,American Bittersweet,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Red-rooted Flat Sedge,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Houghton's Flat Sedge,S3,G4?,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Fragrant Flat Sedge,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
