county,n_species,total_area,human_pop_county,density,perc_not_secure_state,perc_not_secure_global
Albany,123,1381245346,303348,2.196192015259829e-4,100,8.130081300813007
Allegany,26,2679214934,45609,1.7023270295043823e-5,100,7.6923076923076925
Bronx,139,148586764,1390450,0.009357832168684958,100,5.839416058394161
Broome,36,1852704805,187614,1.0126491791551218e-4,100,8.333333333333332
Cattaraugus,82,3424909467,74899,2.1868899228336888e-5,100,4.938271604938271
Cayuga,101,2236898696,75486,3.3745828604122e-5,100,4.9504950495049505
Chautauqua,73,3885479873,125765,3.236794530166905e-5,100,8.333333333333332
Chemung,69,1063863749,82498,7.754564442819454e-5,100,5.797101449275362
Chenango,36,2327440818,46731,2.007827637918482e-5,100,11.11111111111111
Clinton,88,2894345033,80097,2.7673618413413256e-5,98.86363636363636,2.2988505747126435
Columbia,91,1678842117,58813,3.5031882631760306e-5,100,7.865168539325842
Cortland,41,1298928591,47299,3.641385702626358e-5,100,9.75609756097561
Delaware,43,3800470486,43353,1.1407271852182988e-5,100,11.904761904761903
Dutchess,150,2137634629,294776,1.3789821515845213e-4,99.33333333333333,7.38255033557047
Erie,143,3177539614,916672,2.884848377534657e-4,100,2.797202797202797
Essex,154,4963103744,36079,7.26944304632291e-6,98.7012987012987,3.9215686274509802
Franklin,60,4396479409,49508,1.1260828357037803e-5,98.33333333333333,1.6666666666666667
Fulton,25,1380151090,52883,3.831681935635032e-5,100,8
Genesee,99,1282842972,56866,4.4328106589182765e-5,100,6.0606060606060606
Greene,74,1704341560,46802,2.746045810207198e-5,100,6.8493150684931505
Hamilton,59,4682193736,4384,9.363132427205486e-7,98.30508474576271,3.389830508474576
Herkimer,75,3776227978,60531,1.6029487719663306e-5,98.66666666666667,4
Jefferson,114,4810534160,105770,2.1987163271697877e-5,99.12280701754386,6.140350877192982
Kings,83,250843242,2523560,0.010060306906733409,98.79518072289156,7.317073170731707
Lewis,75,3340920138,25916,7.757144418158492e-6,100,6.666666666666667
Livingston,75,1658260127,62316,3.757914635066179e-5,100,4
Madison,70,1712745358,70589,4.121394909657084e-5,100,8.571428571428571
Monroe,151,3539746542,739582,2.0893642842069904e-4,100,3.3112582781456954
Montgomery,13,1062666158,48875,4.599280746079805e-5,100,15.384615384615385
Nassau,214,1174251309,1355700,0.0011545228773511208,100,6.074766355140187
New York,75,87694297,1628010,0.01856460517609258,100,6.666666666666667
Niagara,95,2951729939,207723,7.037330795593492e-5,100,2.1052631578947367
Oneida,145,3257279069,227065,6.971002336306113e-5,99.3103448275862,3.4722222222222223
Onondaga,147,2086540641,458286,2.1963914385121242e-4,100,5.47945205479452
Ontario,69,1716001534,109855,6.401800803984597e-5,100,1.4492753623188406
Orange,165,2171925330,390568,1.798257033081335e-4,100,5.521472392638037
Orleans,31,2117108738,39746,1.8773716855728174e-5,96.7741935483871,10
Oswego,84,3398227397,116342,3.4236084407626236e-5,98.80952380952381,9.523809523809524
Otsego,38,2630801251,58859,2.237303178171554e-5,100,13.157894736842104
Putnam,76,637450426,97332,1.5268952067497716e-4,100,9.210526315789473
Queens,160,470038399,2212360,0.004706764393519262,100,3.125
Rensselaer,103,1723385533,157576,9.143398095358155e-5,100,4.901960784313726
Richmond,191,266424213,475909,0.0017862828405915193,100,4.2105263157894735
Rockland,122,516061786,326323,6.323331989553669e-4,99.18032786885246,7.43801652892562
Saratoga,77,2185452229,229249,1.0489774013724278e-4,100,3.9473684210526314
Schenectady,70,542456659,155739,2.870994344268894e-4,100,2.857142857142857
Schoharie,27,1622180503,30705,1.892822650945152e-5,100,3.7037037037037033
Schuyler,34,886651777,17653,1.9909732837539894e-5,100,5.88235294117647
Seneca,78,1011191300,33690,3.331713791445793e-5,100,3.8461538461538463
St. Lawrence,135,7307175560,106566,1.458374704767597e-5,98.51851851851852,3.007518796992481
Steuben,40,3636438297,94417,2.5964141912676594e-5,100,10
Suffolk,321,6146695287,1468140,2.3885029783484693e-4,99.68847352024922,6.25
Sullivan,48,2581221628,75498,2.9248941346620393e-5,100,10.869565217391305
Tioga,55,1354644584,47727,3.523211960075278e-5,100,9.090909090909092
Tompkins,109,1273102625,101702,7.988515458445465e-5,100,5.555555555555555
Ulster,156,3006354575,175883,5.8503744522550204e-5,99.35897435897436,6.493506493506493
Warren,91,2412837338,63402,2.627694747651489e-5,98.9010989010989,6.666666666666667
Washington,99,2190840599,61064,2.7872406613184183e-5,100,4.081632653061225
Wayne,75,3582098100,89354,2.4944598809284425e-5,98.66666666666667,8
Westchester,190,1295205884,966092,7.458984026666142e-4,99.47368421052632,4.736842105263158
Wyoming,50,1544377505,39531,2.5596720926079536e-5,100,2.0408163265306123
Yates,62,973265574,24837,2.551924229470383e-5,100,1.6129032258064515
